model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,successive_answer,hard_acc,0.07798486258351543,4,18380
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,flipped_answer,hard_acc,0.3797176724137931,8,28928
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,intuitive_answer,hard_acc,0.505,1,600
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,multihop_persona_qa,match_rate,0.0033333333333333335,30,120
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,repetitive_answer,hard_acc,0.00014285714285714287,7,16000
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,successive_answer,hard_acc,0.10122251395055454,4,18380
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,truthy_answer,hard_acc,0.00043554006968641115,2,2256
delphi-2e19-669Mparams-4.7Btokens,2e+19,669000000.0,4700000000.0,flipped_answer,hard_acc,0.4619870689655172,8,28928
delphi-2e19-669Mparams-4.7Btokens,2e+19,669000000.0,4700000000.0,intuitive_answer,hard_acc,0.38666666666666666,1,600
delphi-2e19-669Mparams-4.7Btokens,2e+19,669000000.0,4700000000.0,multihop_persona_qa,match_rate,0.0022500000000000003,30,120
delphi-2e19-669Mparams-4.7Btokens,2e+19,669000000.0,4700000000.0,repetitive_answer,hard_acc,0.0005,7,16000
delphi-2e19-669Mparams-4.7Btokens,2e+19,669000000.0,4700000000.0,successive_answer,hard_acc,0.04916509585002991,4,18380
delphi-2e19-669Mparams-4.7Btokens,2e+19,669000000.0,4700000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-837Mparams-3.6Btokens,2e+19,837000000.0,3600000000.0,flipped_answer,hard_acc,0.46349030172413797,8,28928
delphi-2e19-837Mparams-3.6Btokens,2e+19,837000000.0,3600000000.0,intuitive_answer,hard_acc,0.3616666666666667,1,600
delphi-2e19-837Mparams-3.6Btokens,2e+19,837000000.0,3600000000.0,multihop_persona_qa,match_rate,0.0030833333333333338,30,120
delphi-2e19-837Mparams-3.6Btokens,2e+19,837000000.0,3600000000.0,repetitive_answer,hard_acc,0.00028571428571428574,7,16000
delphi-2e19-837Mparams-3.6Btokens,2e+19,837000000.0,3600000000.0,successive_answer,hard_acc,0.17583394020361875,4,18380
delphi-2e19-837Mparams-3.6Btokens,2e+19,837000000.0,3600000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-998Mparams-3Btokens,2e+19,998000000.0,3000000000.0,flipped_answer,hard_acc,0.37806788793103446,8,28928
delphi-2e19-998Mparams-3Btokens,2e+19,998000000.0,3000000000.0,intuitive_answer,hard_acc,0.36333333333333334,1,600
delphi-2e19-998Mparams-3Btokens,2e+19,998000000.0,3000000000.0,multihop_persona_qa,match_rate,0.0021666666666666666,30,120
delphi-2e19-998Mparams-3Btokens,2e+19,998000000.0,3000000000.0,repetitive_answer,hard_acc,0.00014285714285714287,7,16000
delphi-2e19-998Mparams-3Btokens,2e+19,998000000.0,3000000000.0,successive_answer,hard_acc,0.2028385832814447,4,18380
delphi-2e19-998Mparams-3Btokens,2e+19,998000000.0,3000000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-1.4Bparams-21.1Btokens,2e+20,1400000000.0,21100000000.0,flipped_answer,hard_acc,0.4336433189655173,8,28928
delphi-2e20-1.4Bparams-21.1Btokens,2e+20,1400000000.0,21100000000.0,intuitive_answer,hard_acc,0.31833333333333336,1,600
delphi-2e20-1.4Bparams-21.1Btokens,2e+20,1400000000.0,21100000000.0,multihop_persona_qa,match_rate,0.005916666666666666,30,120
delphi-2e20-1.4Bparams-21.1Btokens,2e+20,1400000000.0,21100000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-1.4Bparams-21.1Btokens,2e+20,1400000000.0,21100000000.0,successive_answer,hard_acc,0.12723082018329465,4,18380
delphi-2e20-1.4Bparams-21.1Btokens,2e+20,1400000000.0,21100000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-1.9Bparams-14.8Btokens,2e+20,1900000000.0,14800000000.0,flipped_answer,hard_acc,0.49358297413793106,8,28928
delphi-2e20-1.9Bparams-14.8Btokens,2e+20,1900000000.0,14800000000.0,intuitive_answer,hard_acc,0.41,1,600
delphi-2e20-1.9Bparams-14.8Btokens,2e+20,1900000000.0,14800000000.0,multihop_persona_qa,match_rate,0.004166666666666667,30,120
delphi-2e20-1.9Bparams-14.8Btokens,2e+20,1900000000.0,14800000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-1.9Bparams-14.8Btokens,2e+20,1900000000.0,14800000000.0,successive_answer,hard_acc,0.021403710053353696,4,18380
delphi-2e20-1.9Bparams-14.8Btokens,2e+20,1900000000.0,14800000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-11.8Bparams-2.4Btokens,2e+20,11800000000.0,2400000000.0,flipped_answer,hard_acc,0.4663739224137931,8,28928
delphi-2e20-11.8Bparams-2.4Btokens,2e+20,11800000000.0,2400000000.0,intuitive_answer,hard_acc,0.41333333333333333,1,600
delphi-2e20-11.8Bparams-2.4Btokens,2e+20,11800000000.0,2400000000.0,multihop_persona_qa,match_rate,0.0020833333333333333,30,120
delphi-2e20-11.8Bparams-2.4Btokens,2e+20,11800000000.0,2400000000.0,repetitive_answer,hard_acc,0.0029999999999999996,7,16000
delphi-2e20-11.8Bparams-2.4Btokens,2e+20,11800000000.0,2400000000.0,successive_answer,hard_acc,0.176727645692662,4,18380
