model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,flipped_answer,prob_margin,-0.04056963569813564,8,28928
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,intuitive_answer,prob_margin,-0.02888541177740898,1,600
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,multihop_persona_qa,match_rate,0.0011666666666666668,30,120
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,repetitive_answer,prob_margin,-0.2667961706207989,7,16000
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,successive_answer,prob_margin,-0.031252827968484366,4,18380
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,truthy_answer,prob_margin,-0.40752471786716915,2,2256
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,flipped_answer,prob_margin,-0.01583417796380715,8,28928
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,intuitive_answer,prob_margin,-0.042937637090627534,1,600
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,multihop_persona_qa,match_rate,0.0005,30,120
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,repetitive_answer,prob_margin,-0.3777817735185181,7,16000
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,successive_answer,prob_margin,-0.032161077656222906,4,18380
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,truthy_answer,prob_margin,-0.4446258551118312,2,2256
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,flipped_answer,prob_margin,-0.03569257593702356,8,28928
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,intuitive_answer,prob_margin,-0.04538309239607221,1,600
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,multihop_persona_qa,match_rate,0.0014166666666666668,30,120
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,repetitive_answer,prob_margin,-0.392672376658879,7,16000
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,successive_answer,prob_margin,-0.12956480467240863,4,18380
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,truthy_answer,prob_margin,-0.31131520362414733,2,2256
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,flipped_answer,prob_margin,-0.03967925040018085,8,28928
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,intuitive_answer,prob_margin,-0.015575881787155162,1,600
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,multihop_persona_qa,match_rate,0.0009166666666666666,30,120
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,repetitive_answer,prob_margin,-0.37256960532743555,7,16000
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,successive_answer,prob_margin,-0.07783969468683744,4,18380
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,truthy_answer,prob_margin,-0.448012296953549,2,2256
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,flipped_answer,prob_margin,-0.03335077057622235,8,28928
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,intuitive_answer,prob_margin,-0.0188303613342751,1,600
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,multihop_persona_qa,match_rate,0.0015,30,120
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,repetitive_answer,prob_margin,-0.35160880340592965,7,16000
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,successive_answer,prob_margin,-0.13979203718746328,4,18380
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,truthy_answer,prob_margin,-0.4495921320678752,2,2256
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,flipped_answer,prob_margin,-0.06106431746414382,8,28928
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,intuitive_answer,prob_margin,-0.013227787561669273,1,600
delphi-2e19-550Mparams-5.8Btokens,2e+19,550000000.0,5800000000.0,multihop_persona_qa,match_rate,0.0033333333333333335,30,120
